WMO_Region,OID_,Continent,Type,Name,Acronym,Area,AreaPercent,GDP_Percent,ExtremeHeat,Coldspell_coldwave,RiverFlood,Aridity_Drought,FireWeather,SevereWindStorm,TropicalCyclone,SandAndDustStorm,Permafrost,SnowAndIceStorm,Hail,SnowAvalanche,CoastalFlood
,46,ARCTIC,Ocean,Arctic-Ocean,ARO,1.546812905,,,,,,,,,,,,,,,
,47,PACIFIC,Ocean,N.Pacific-Ocean,NPO,770.2982149,,,,,,,,,,,,,,,
,48,PACIFIC,Ocean,Equatorial.Pacific-Ocean,EPO,43.16774699,,,,,,,,,,,,,,,
,49,PACIFIC,Ocean,S.Pacific-Ocean,SPO,104.6525956,,,,,,,,,,,,,,,
,50,ATLANTIC,Ocean,N.Atlantic-Ocean,NAO,241.1913454,,,,,,,,,,,,,,,
,51,ATLANTIC,Ocean,Equatorial.Atlantic-Ocean,EAO,5.350972735,,,,,,,,,,,,,,,
,52,ATLANTIC,Ocean,S.Atlantic-Ocean,SAO,0,,,,,,,,,,,,,,,
,53,INDIAN,Ocean,Arabian-Sea,ARS,2.13405796,,,,,,,,,,,,,,,
,54,INDIAN,Ocean,Bay-of-Bengal,BOB,1411.605949,,,,,,,,,,,,,,,
,55,INDIAN,Ocean,Equatorial.Indic-Ocean,EIO,1244.011616,,,,,,,,,,,,,,,
,56,INDIAN,Ocean,S.Indic-Ocean,SIO,478.4183261,,,,,,,,,,,,,,,
,57,SOUTHERN,Ocean,Southern-Ocean,SOO,0,,,,,,,,,,,,,,,
